FILENAME	SHELFMARK	EXTENT	lang/script	LEAF SIZE	WRITTEN SIZE	subject - 1	subject - 2	MATERIAL	MEDIUM	SCRIPT	HANDS	DECORATION	CONDITION	WRITTEN LINES	LAYOUT	FOLIATION	ADDITIONS	PROVENANCE & ACQUISITION	SUMMARY	WORK NUMBER	ROMANIZED AUTHOR NAME(S)	TIBETAN SCRIPT AUTHOR NAME(S)	ROMANIZED TITLE(S)	TIBETAN SCRIPT TITLE(S)	ROMANIZED MARGIN TITLE(S)	TIBETAN SCRIPT MARGIN TITLE(S)	INCIPIT	EXPLICIT	COLOPHON	NOTES	BIBLOGRAPHIC REFERENCE(S)
UkOxU_003_Ms__Tib__a__9_(R).xml	MS. Tibet. a. 9 (R)	247 ff	bo-Latn-x-EWTS	500 x 80	420 x 55	Tantra	Cakrasamvara (Buddhist deity)	chart	black,red_	dbu med			good	6				S.C. 33623, 33717. 25 Sept. 1905, donation by the Government of India.	The collection of 48 titles of works on meditation practice from the mKha' 'gro snyan brgyud cylce belonging to the Cakraśambaratantra	1	pad+ma dkar po	པདྨ་དཀར་པོ	mkha' 'gro snyan brgyud kyi dpe tho	མཁའ་འགྲོ་སྙན་བརྒྱུད་ཀྱི་དཔེ་ཐོ	a	ཨ	rje btsun sprul longs chos tshul ke tu'i tog//_mdo rgyud rtogs pa lha mi klu'i gtsos thag//_yid bzhin nor bu gsum gdams ngag bzhin du//_'dod don grub pa'i dgongs ldan ngal bsos dge//_der phan rin chen blun tshig na ku la'i//_khong par 'khyams pa'i bzhed don gegs gzigs nas//_byin rlabs phyag gi mgrin btsir ma god par//_skyugs 'di tho yig gzhong par bzed phyir btud//_'dir mkha' 'gro snyan rgyud yid bzhin nor bu rnam pa gsum par grags pa la/_brgyud pa yid bzhin gyi nor bu dang 'grel pa phyag qrgya chen po gang+ga ma bsam mi kyab kyi do ha brgyad/	des rnam bshad mdzad pa/_bzhi ras chung pa s spyangs/ rnam bshad de'i gsung la ngam rdzong pa 'i zin bris /_bde chen gsung gi rin chen gyi bsnyen pa sgrub pa zhal gdams sbyor chos dang bcas pa/_ro snyoms gsum/_khams kyi rab dbye rdo rje mkha' 'gro'i rgyal 'grel las byung ba/_til+li'i gtad rgya/_mgon po gzhung kam pa las mdzad/_las tshogs ras chung pa s mdzad pa'o//_'di rnams yig rnying gces pa yin pas phyin chad 'di ltar du bris shig/_bkra shis//		This text is a list of ancient texts on the instructions pertaining to the mKha' 'gro snyan rgyud cycle of teachings in the bKa' brgyud pa tradition	
	MS. Tibet. a. 9.10 (R)																			10	pra dznyA raksi ta	པྲ་ཛཉཱ་རཀསི་ཏ	dpal 'khor lo sdom pa'i gtor chog lag mchod phyi mchod gsum gyi gzhung	དཔལ་འཁོར་ལོ་སྡོམ་པའི་གཏོར་ཆོག་ལག་མཆོད་ཕྱི་མཆོད་གསུམ་གྱི་གཞུང	ai	ཨཻ	dpal he ru ka la phyag 'tshal lo//_dngos po thams cad gcig gyur sdom//_bde mchog dpa' bor phyag btsal te//_gtor ma'i de nyid mdor bsdus nas//_lugs ni ji bzhin bshad par bya//_gtor ma brjod par bya ste/_dang po rnal 'byor chen por dmigs pa las blangs te/_dpal 'khor lo sdom pa'i rnal 'byor dang ldan pa'i sngags pas zas la sogs pa mdun du bzhag ste sbyang bar bya ba'o//_de la mdun du yi ge yaM las rlung gi dkyil 'khor ro/ /	de nas snying ga dang lce dang mgo rnams su yi ge huM dang AH dang oM brjod pa sngon du 'gro bas byug cing /_des lag pa de na gnas pa'i lha'i 'khor lo yang bdag nyid la bzhug par bya'o//_de ltar gzhung gsum dpal pra dz+&A rak+Shi ta s mdzad pa rdzogs so// paN+Di ta de nyid dang /_lo tsha ba mar pa chos kyi blo gros kyis bsgyur te gtan la phab pa'o//_shu b+haM/ /			
	MS. Tibet. a. 9.11 (R)																			11	nA ro pa	ནཱ་རོ་པ	mthun mong?? yid bzhin nor bu'i bsre ba skor	མཐུན་མོང??་ཡིད་བཞིན་ནོར་བུའི་བསྲེ་བ་སྐོར	o	ཨོ	na mo gu ru/ mthun mongs yid bzhin nor bu'i skabs su bsre ba skor gsum ni/_smin lam dang sbyar te bsre ba dang /_grol lam bskyed rdzogs dang sbyar te bsre ba dang /_thob bya 'bras bu sku gsum dang sbyar te bsre ba dang /	gzhung 'di min pa la bsre ba'i skor mtshan nyid pa med pas khyad par du gnad che'o// rje btsun chen po nA ro pa s gsungs so/ /_mang+ga laM//			
	MS. Tibet. a. 9.12 (R)																			12	nA ro pa	ནཱ་རོ་པ	dam tshig yid bzhin nor bu'i bsre ba	དམ་ཚིག་ཡིད་བཞིན་ནོར་བུའི་བསྲེ་བཨོཨུ	ou		na mo rat+na gu ru/_dam tshig yid bzhin nor bu'i skabs su bsre ba gsum ni/_rgyu'i dam tshig rtsa rlung byangs sems gsum las bsrung ba dang /_lam dus kyi dam tshig bskyed rdzogs sgom zhing dran pa dang shes bzhin gyi bsrung ba yin /	gsang sngags snying po mkha' 'gro rnams kyi gsang //_byin rlabs rgyud pa dpal ldan nA ro 'i lugs//_gzhi lam 'bras bur bcas pa'i bdud rtsi 'di//_ri khrod dgon par rnal 'byor rnams kyis 'thung //_\uF042//			
	MS. Tibet. a. 9.13 (R)																			13	nA ro pa	ནཱ་རོ་པ	gnas lugs yid bzhin nor bu'i bsre ba	གནས་ལུགས་ཡིད་བཞིན་ནོར་བུའི་བསྲེ་བ	aM	ཨཾ	dpal 'khor lo sdom pa la phyag 'tshal lo/_gsang sngags gnad kyi gdams pa mthun mongs ma yin pa rgyud sde rnams kyi snying po'i bcud bsdus pa yang snying bde mchog snyan brgyud kyi bsre ba'i gnad 'di dag ni//_dpal nA ro'i gdams pa ste//_gzhan dag la bsre ba'i gnad med pas dge sbyor la bogs mi thon pa dang /_sgom kyang yon tan 'phel du mi btub pa rnams bsre ba'i rten 'brel gyi gnad 'di ma shes pas lan gsung ngo//	gti mug dug gsum gyi rtsa ba yin pas/_chos sku de gzugs sku gnyis kyi rgyu'am rtsa ba lta bu yin pas gti mug rdo rje gang du yang mi rtog par 'dug pas chos sku/_de dbyer med du shes na dbang po yang rab bo//_gal te de ltar ma yin na gti mug gnas gyur pas chos sku thob ces bya'o//_de nyid la'ang ye shes lnga ldan du tshang bas go sla'o//_bkra shis/			
	MS. Tibet. a. 9.14 (R)																			14	nA ro pa	ནཱ་རོ་པ	dam chos yid bzhin nor bu'i man ngag	དམ་ཆོས་ཡིད་བཞིན་ནོར་བུའི་མན་ངག	a	ཨ	na mo gu ru de wa Da ki nI/_dbang bzhi ka mthun mongs du 'brel srung bya gtso bor bton pa dam tshig yid bzhin nor bu la gsum ste/_zab pa'i dam tshig dang /_rgya che ba'i dam tshig dang /_gnyis su med pa'i dam tshig go/_zab pa'i dam tshig la brgyad de bag yod dran pas bzung ba'i dam tshig dang /_sgom zhing ngo sprod pa'i dam tshig dang /_bsten par bya ba'i dam tshig dang /_gsang bar bya ba'i dam tshig dang /_ma bsag par bya ba'i dam tshig dang /	de bzhin du rdo rje spun la khros pa la sogs pa'i rtsa ltung 'phog na tshogs 'khor la brten te dngos su bshags/_gzhan yang sbom po dang nyes byas la sogs pa'i ltung ba byung na/_yan lag tshang ba'i sgo nas bshags/_dam tshig yid bzhin nor bu'i gdams ngag rdzogs so//_bkra shis//			
	MS. Tibet. a. 9.15 (R)																			15			mkha' 'gro snyan brgyud kyi khrid lugs rgyas pa'i sa bcad	མཁའ་འགྲོ་སྙན་བརྒྱུད་ཀྱི་ཁྲིད་ལུགས་རྒྱས་པའི་ས་བཅད	ka	ཀ	rdo rje'i chags pa bde ba'i ku mut+ta'i//_sems dpa' snying rjer zla gzhon gyis 'phrog pas//_dang po'i dus nas snyags kyang bsam rdzogs pa//_bcu drug cha las 'byung ba der phyag 'tshal//_snyan rgyud rdo rje'i rnal 'byor ma zhes bya ba yid bzhin gyi nor bu rnam pa gsum/_mdo rgyud thams cad kyi snying po las snying por gyur pa dpal 'khor lo sdom pa'i rtsa bshad kyi gzhung chen po rnams kyi legs par sbyangs pa/	gsum pa gtad rgyas de las dgos 'dod kyi bka' bab tshul la/_sngon byung bcu gsum rjes 'jug lung bstan/_ji lta bus gtad pa gsum mo//_de la 'di don byin gyis rlabs pa/_lung sbyin nas snod bcud rdo rje slob dpon mchog gi blo can du bsko ba/_mkha' 'gro chos skyong dpang du gtsugs te gtad/_phris sgrub pa'i chos skyong bsko ba dang bzhi'o//_dge'o//			
	MS. Tibet. a. 9.16 (R)																			16			lus med mkha' 'gro ma zhes bya ba'i sgrubs thabs	ལུས་མེད་མཁའ་འགྲོ་མ་ཞེས་བྱ་བའི་སྒྲུབས་ཐབས	tsa	ཙ	rgya gar skad du /_Da ki nya a piN+Da no sA d+ha ka na ma/_bod skad du/_lus med mkha' 'gro ma zhes bya ba'i sgrub thabs/_dpal rdo rje rnal 'byor ma la phyag 'tshal lo/_grub pa lus kyi sprul par bzhugs//_rab tu 'bar bas phyogs kun gsal//_sangs rgyas rnams ni bskul bar mdzad//_cir yang mi rtog gsal gyur cig//_rang bzhin dbyings las ma g.yos par//_rnam pa kun gyi mchog dang ldan//	phyogs med ngo mtshar rmad byung gtso//_rang byung grol ba'i ye shes mchog//_sa gsum gnas pa'i 'gro ba rnams//_nam yang khyed dang 'bral ma gyur// lus med mkha' 'gro'i sgrub thabs rdzogs so//_oM ba dz+ra bai ro tsA ni ye huM huM phaT/_nye ba'i snying po'o//_e a e o aM aH/_a ka tsa Ta ta pa sha ya/_'phreng ba'i sngags so//			
	MS. Tibet. a. 9.17 (R)																			17			snyan brgyud lhan cig skyes ma'i rtsa ba 	སྙན་བརྒྱུད་ལྷན་ཅིག་སྐྱེས་མའི་རྩ་བ	tsha	ཚ	rgya gar skad du /_ba dz+ra yo gi nI sA d+ha na na ma/_bod skad du/_rdo rje rnal 'byor ma'i sgrub thabs/_thugs rje chen po la phyag 'tshal lo//_dang po re zhig sems ca thams cad sdug bsngal gyi rgya mtsho las bsgral te/_rdzogs pa'i byang chub kyi bde ba la dgod par bya'o//_zhes pa tshad med pa'i rnal 'byor sngon du bya'o//	zhes lan gsum brjod pa dang /_ljags byin byis rlabs bzhin pas gsol te mnyes par bsam bstod pa bya/_'dod pa'i don la gsol ba btab la/_yi ge brgya pa'i mthar ba dz+ra muH/_zhes gshegs gsol dang /_gtor ma'i cho ga mdor bsdus pa'o //_jo mo lhan cig skyes ma'i gtor ma'i chog ga rdzogs so//			
	MS. Tibet. a. 9.18 (R)																			18	mar pa chos kyi blo gros	མར་པ་ཆོས་ཀྱི་བློ་གྲོས	blon po rigs gsum las byed/_'bang 'phris mthun sbyor	བློན་པོ་རིགས་གསུམ་ལས་བྱེད། འབང་འཕྲིས་མཐུན་སྦྱོར	dza	ཛ	na mo gu ru/ mthun mongs yid bzhin nor bu/_blon po rigs gsum las byed kyi gdams pa la gsum las/_dang po bla ma la gsol ba gdabs pa ni/_rang yi dam du bskyed pa'i thugs ka'i sa bon las 'od 'phros pas bla ma rang bzhin gyi gnas nas spyan drangs te/_rang gi spyi bo'i gtsug du byon pa de'i thugs ka nas huM yod pa las 'od zer 'phros pas bka' brgyud kyi bla ma spyan drangs te/	rangs sems spros pa thams cad bral ba dran med du gnas pa 'od gsal ba'o//_mdor na rmi lam sgu lus 'od gsal gsum lam du byed pa'o//_blon po rigs gsum las byed/_'bangs 'phris mthun sbyor gyi gdams pa mar pa s sbyar ba'o//			
	MS. Tibet. a. 9.19 (R)																			19	mar pa chos kyi blo gros	མར་པ་ཆོས་ཀྱི་བློ་གྲོས	dpal bde mchog snyan brgyud kyi 'khrul 'khor gsal ba'i me long dang gtum mo'i 'khrul 'khor bco brgyad rnams	དཔལ་བདེ་མཆོག་སྙན་བརྒྱུད་ཀྱི་འཁྲུལ་འཁོར་གསལ་བའི་མེ་ལོང་དང་གཏུམ་མོའི་འཁྲུལ་འཁོར་བཅོ་བརྒྱད་རྣམས	nya	ཉ	na mo gu ru de wa DA ki nI/_rtsa mdud 'grol dang gegs sel gnad kyi mchog//_lus kyi nad gdon ma lus sel bar byed//_sems kyi ye shes ngo bo 'phrod par byed// rdzu 'phrul yon tan ma lus ster bar byed//_bde chen thig le'i lus su 'gyur ba'i phyir//_rdo rje'i tshig rkang legs par gsung pa'i don// rtsa ba drug la yan lag so dgu yi//_snyan brgyud 'khrul 'khor gsal ba'i me long 'god//	gzhon nu mdzes ldan lhun stug 'gyur//_nang rtags mkha' 'gro dam can 'du//_'khrul 'khor dngos grub glo bur du byed pa'i gnad//_gtum mo'i 'khrul 'khor bco brgyad pa zhes bya ba/_rje mar pa lo tsa s bdzad pa/_snyan brgyud yid bzhin nor bu'i gdams pa rdzogs so//_zab zab//_bkra shis//			
	MS. Tibet. a. 9.2 (R)																			2	til+li pa	ཏིལླི་པ	zab mo'i don brgyad	ཟབ་མོའི་དོན་བརྒྱད	I	ཨཱི	bla ma rin po che la phyag 'tshal lo/_slob dpon chen po tai lo pa s/_rnal 'byor pa nus ldan blo gros la gdams pa/_rtsa rlung dbang du 'dus rtsa na/_bde la zhen pa med pa'i nyams/_snang ba thogs gdugs med pa byung //_rdzu 'phrul rnam pa rna tshogs bstan//_khams 'dus nyams kyi snang ba la//_lha yi dkyil 'khor zhen med mthong //_don dam gnyug ma'i gnas lugs rtogs//_de ltar rtogs pa'i rnal 'byor pas//_rlung bcing lha yi zhal yang mthong / /	nus pa mkhan na re/_lam mchog bla ma'i byin rlabs kyis//_dug la sngags btab chos kyi sku/_nam mkha'i dkyil nas nor bu shar//_'gro drug 'khor ba'i rang bzhin la//_bdag gi rjes su bzung ba yin//_zhes gsungs nas de ltar byas pas//_kho'i lus rdo rje'i skur gyur nas da lta 'das grong mi mnga' bar dus khrod tsi ka li na bzhugs so//_a mi tsi ka li'i snyan rgyud do//_phyag rgya chen po brgyad ces bya ba rnal 'byor pa gsung bcad nyi ma'i sgra sgrogs zab don brgyad kyi gdams gdams pa rdzogs so//_mang+ga laM//		This is collection of eight oral instructions for esoteric practice given by Tilopa at different occasions to Nus ldan Blo gros, Nag po dGe ba dPal, sGyu ma mkhan, Chang 'tshong ma, Glu mkhan dByangs skyong, gShan pa 'dzin na, Mu stegs ston pa Nag po Ma drang ye shes and Nus pa mKhan.	
	MS. Tibet. a. 9.20 (R)																			20	mar pa chos kyi blo gros	མར་པ་ཆོས་ཀྱི་བློ་གྲོས	lus med mkha' 'gro chos skor las rgya gzhung rdo rje'i tshig rkang	ལུས་མེད་མཁའ་འགྲོ་ཆོས་སྐོར་ལས་རྒྱ་གཞུང་རྡོ་རྗེའི་ཚིག་རྐང	Da??	ཌ	rgya gar skad du /_shrI ba dz+ra dA ki nI kA ya ni d+har ma nA ma/_bod skad du/_dpal rdo rje mkha' 'gro lus med pa'i chos zhes bya ba/_ye shes kyi mkha' 'gro ma la phyag 'tshal lo//_gang zhig 'jigs rung dur khrod chen por phaT phaT rngams pa'i sgra sgrogs shing //_mkha' 'gro za byed mun pa'i nang na zla shar lta bur rab tu 'bar//	zab chos man ngag nA ro bdag la gnang //_lnga brgya'i tha mar gyur tshe sa steng du//_snod ldan rnams kyi pad+mo dam pa de//_kha ba can ljongs kyod kyis slob ma yi//_'dul bar 'gyur zhes bla ma'i gsung las thos//_'gro rnams bde mchog 'bras bu rgyal gyur cig //_dpal rdo rje mkha' 'gro ma lus med pa'i chos zhes bya ba \uF042/ dge'o//			
	MS. Tibet. a. 9.21 (R)																			21	mar pa chos kyi blo gros	མར་པ་ཆོས་ཀྱི་བློ་གྲོས	lus med mkha' 'gro'i chos sde lnga'i 'grel pa rje mar pas mdzad pa	ལུས་མེད་མཁའ་འགྲོའི་ཆོས་སྡེ་ལྔའི་འགྲེལ་པ་རྗེ་མར་པས་མཛད	D+ha	པཌྷ	dpal 'khor lo sdom pa la phyag 'tshal lo//_'dir brda' dang 'brel pa ngo sprod kyi gdams pa la skal ldan yid ches par bya ba'i phyir brgyud pa'i lo rgyus bstan pa dang /_gdams pa dngos bstan pa'o//_de'i gdams pa dngos la sgro 'dogs gcod byed gsum ste/_dang po lta ba gtan la dbab pa thabs kyi nyams su blangs pa'i gdams ngag rtogs pa'i don la sgro 'dogs gcod pa dang /_rdo rje'i tshig don bkrel ba'i sgo nas zab mo'i don rnam par phye ste snyan brgyud brda'i gdams ngag gi nyams myong rtogs pa'i sgro 'dogs gcod pa dang /	de dag ni lam 'khrigs chags su skye ba la dgongs nas rje btsun til+li pa 'i gzhung gi don man ngag du bshad pa/ rje nA ro pa 'i gsung ji lta ba bzhin du mar pa chos kyi blo gros kyis sbyar ba'o//_bkra shis//			
	MS. Tibet. a. 9.22 (R)																			22	mar pa chos kyi blo gros	མར་པ་ཆོས་ཀྱི་བློ་གྲོས	dpal lhan cig skyes pa'i sgrubs thabs bdag byin rlabs	དཔལ་ལྷན་ཅིག་སྐྱེས་པའི་སྒྲུབས་ཐབས་བདག་བྱིན་རླབས	[kha]??		rgya gar skad du /_shrI sa ha dza sam ba ra sa d+ha nA na/_bod skad du/_dpal lhan cig skyes pa'i bde ba'i mchog/_bdag byin rlams pa zhes bya ba/_he ru ka la phyag 'tshal lo//_rnal 'byor rnam gsum shes bya ste/_bying gyis rlabs dang rab btags dang /_rdzogs pa gzugs brnyan gsal med do//	thabs bdag byin gyis rlabs pa zhes bya ba/_slob dpon chen po tai lo pa s mdzad pa/_ nA ro paN+Di ta'i spyan sngar mar pa chos kyi blo gros kyis bsgyur cing zhus te gtan la phab pa'o/ /			
	MS. Tibet. a. 9.23 (R)																			23	mar pa chos kyi blo gros	མར་པ་ཆོས་ཀྱི་བློ་གྲོས	sems kyi skyon sel mi ldog par byed pa'i gnad kyi gzer gsum	སེམས་ཀྱི་སྐྱོན་སེལ་མི་ལྡོག་པར་བྱེད་པའི་གནད་ཀྱི་གཟེར་གསུམ	[nga]??		dpal ldan bde chen rkang gnyis gtso//_yang dag gnyis med lam ston pa//_rgyal ba'i phris gtsug phud can/_bla ma mgon pa btud bya ste//_bsdu thabs mthar thug skyon sel bcas//_bla ma mkha' 'gro'i gsung bzhin bgod/ /	rang bzhin shes pas sgrub bya'i rtsol ba bral//_ngo bo rtogs pas rnam grangs spros pa chod//_rang mtshan shes pas 'khrul pa'i sgrog las grol//_rang snang 'khu 'phrig dpung las rgyal bar shog//_sems kyi skyon sel mi ldog par byed pa gnad kyi gszer gsum zhes bya ba/_ong co'i ngor bkrol ba \uF042 /_shu b+haM//			
	MS. Tibet. a. 9.24 (R)																			24	nA ro pa	ནཱ་རོ་པ	snyan rgyud gzhung chung	སྙན་རྒྱུད་གཞུང་ཆུང	tsha	ཚ	rgya gar skad du /_shrI sam+ba ra u pa de sha mu kar+Na pa ri saM ru cin+ta ma Ni na ma/ bod skad du/_dpal 'khor lo sdom pa'i mang ngag zhal nas snyan du brgyud pa yid bzhin gyi nor bu zhes bya ba dpal rdo rje sems dpa' la phyag 'tshal lo//_sku gsum bdag nyid dgos byung bla ma dam pa'i zhabs pad ze 'bru dri med 'od zer la phyag 'tshal/	rtsibs kyi rgya mdud dang bcas pa/_ nA ro paN+Di ta'i zhal snga nas lo ts+tsha ba mar pa chos kyi blo gros kyis/_pU la ha rir bsgyur ba'o//_shu b+haM//_rdo rje'i gzhung chung gting dpag dka' gyur pa//_gzhung don gdams pa gsal byed sgron me'i mchan//_rgyal song bskul nas rjes 'jug rnams kyi ngor //_rdo rje'i ming can bdag gi gsal bar bkod//_dge des mkha' mnyam 'gro ba ma lus pa//_mi shes blo yi rab rib phyir bsal te//_mkhyen pa gnyis ldan rkang gnyis gtso mchog tu//_gyur nas mdzad pa rgyun mi chad par shog//_dge'o//			
	MS. Tibet. a. 9.25 (R)																			25	mar pa chos kyi blo gros	མར་པ་ཆོས་ཀྱི་བློ་གྲོས	man ngagi?? gyi 'chi ltas	མན་གྱི??་འཆི་ལྟས	[ta]??		bla ma dam pa rnams la phyag 'tshal lo//_'chi rtags kyi 'chi dus bzung ba la gsum ste/_phyi dang /_nang dang //_gdams ngag gis so//_de yang phyi'i 'chi ltas spyod lam la sogs pa dang /_nang gi 'chi ltas rlung log pa dang /	snyan rgyud rnal 'byor pa 'pho ba'i dus shes pa gnad kyi lag khrid gdams pa'i smar khrid /_'chi ltas kyi be bum lags so//_bug ba'i skor lugs chos kyi ltar yin gsung ngo//_bkra shis//			
	MS. Tibet. a. 9.26 (R)																			26	mar pa chos kyi blo gros	མར་པ་ཆོས་ཀྱི་བློ་གྲོས	bdud rtsi ril bu'i d+he sha	བདུད་རྩི་རིལ་བུའི་དྷེ་ཤ	[tha]??		ba dz+ra d+ha ra hi na ma/_du ma'i bdag nyid byin rlabs ldan//_cig car sgrubs pa smin pa gnyis//_mi khyi glang po rta dang ba//_byang sems dkar dmar che chung gnyis//_ngar rnabs dag gi klad pa la//_mkhas pas pad ma'i snod du byug//	kha dog ni mtshal gyi dmar por bsgyur//_dri ni dza ti dang gla rtsi ka ko las bsgyur//_ro ni mngar gsum dag gis bsgyur//_tshad ni mon sran tsa na ka//_snod ni za ma tog gi nang //_'di la shin tu gces par bya'o// ces gsungs so//			
	MS. Tibet. a. 9.27 (R)																			27	mar pa chos kyi blo gros	མར་པ་ཆོས་ཀྱི་བློ་གྲོས	dam tshig yid bzhin gyi nor bu	དམ་ཚིག་ཡིད་བཞིན་གྱི་ནོར་བུ	da	ད	dpal 'khor lo sdom pa la phyag 'tshal lo//_bde mchog rtsa ba'i rgyud nas gsungs pa'i /_mthun mong ma yin pa'i dam tshig rnam pa brgyad la don rnam pa lnga ste//_dam tshig nyams pa'i skyon dang /_bsrung ba'i phan yon dang / ltung ba rdzogs pa'i tshad dang //_dam tshig dbye ba dang /_dam tshig nyams na phyir bcos pa'i thabs so//	'bras bu mchog dang mthun mongs thob par byed pa'i grogs bde mchog rtsa ba'i rgyud kyi le'u nyi shu rtsa drug nas gsungs pa/_ mar pa blo gros kyi nye bar mkho ba'i ched du gro bo lung gi dgon pa r bkod pa'o//_\uF042			
	MS. Tibet. a. 9.28 (R)																			28	mar pa chos kyi blo gros	མར་པ་ཆོས་ཀྱི་བློ་གྲོས	lam blo nas gcod pa bar do'i ngo sprod kyi gdams ngag zab mo	ལམ་བློ་ནས་གཅོད་པ་བར་དོའི་ངོ་སྤྲོད་ཀྱི་གདམས་ངག་ཟབ་མོ	na	ན	na mo gu ru de wa DA ki ni/_lam blo nas gcod pa bar do ngo sprod kyi gdams ngag la gsum ste/_lus ldan bzhi'i bar do dang /_nges shes rtags kyi bar do dang / ngo sprod 'bras bu'i bar do'o//_dang po gsum ste/	yid kyi lus chags sdang gi sems sgyu ma lta bu dang bsre zhing ro mnyam/_blang byar 'dod pa'i dge ba sdig pa dang bsre zhing ro mnyam pa'o//_ngo sprod bar do'i gdams pa 'di tshig dang tha snyad ma brjed pa tsam gyis 'od gsal mngon du byed do//_ngo sprod bar do'i gdams pa rdzogs so//_mang+ga laM/			
	MS. Tibet. a. 9.29 (R)																			29	mar pa chos kyi blo gros	མར་པ་ཆོས་ཀྱི་བློ་གྲོས	bar do lam khyer 'khor 'das rgyun gcod kyi gdams ngag	བར་དོ་ལམ་ཁྱེར་འཁོར་འདས་རྒྱུན་གཅོད་ཀྱི་གདམས་ངག	pa	པ	na mo rat+na gu ru/_bar do lam khyer 'khor ba rgyun gcod kyi gdams ngag/_de la rten 'brel lugs su 'byung ba 'khor ba rgyun gcod kyi bar do dang /_rten 'brel lugs las ldog pa myang 'das rgyun gcod gnyis so//	chos sku la yul dang yul can tha dad du gzigs pa med pas/_rnam par mi rtog pa brjod du med pa'i ye shes mtha' bral yin pa'i phyir ro//_'khor 'das rgyun gcod kyi gdams ngag go//_shu b+haM//			
	MS. Tibet. a. 9.3 (R)																			3	til+li pa	ཏིལླི་པ	dbang mdud 'grol gyi gdams pa/_slob dpon chen po te lo pas gsungs pa'i chos nyid gnyug ma'i mgur gnyis	དབང་མདུད་འགྲོལ་གྱི་གདམས་པ། སློབ་དཔོན་ཆེན་པོ་ཏེ་ལོ་པས་གསུངས་པའི་ཆོས་ཉིད་གཉུག་མའི་མགུར་གཉིས	u	ཨུ	kye ma bla ma e sangs rgyas//_e ma ngo mtshar can gyi dbang //_dang po bskur nas bar du sgoms//_tha ma dbang don rnam bzhir rtogs//_rtsa ba dbang bzhi'i gdams ngag la//_yan lag bzhi gsum bcu gnyis la//_dang po dbang gi bka' bzhi ni//_brgyud pa brgyud ldan bya ma 'phur//_byin rlabs chu bo rgyun ma chad//_lag len the tshom sgrog ma tshud//_dbang bka' dbang gi bka' ma gtor//_bar du ngo sprod lag len bzhi//_chos nyid rang byung dbang dang ni//_rkyen gyis dbang gis bskur tshul dang / nyams su blang ba'i thabs tshul dang //_nyams blang rtogs pa'i 'char tshul lo//	'phyo na spre'u ded la gsod//_rgud na gzhon nu'i khyim du 'gro//_rdib na rgyal mtshan rtse la 'phyor//_zhen na du khrod nang du skyod//_'jigs na ma dang bsres la bzhag//_re na yi ge med pa brtag//_dogs na grag cha sgra la brjod//_'gyod na snga phyi me yis thong //_phag pa gtsang dog med par zo//_bu chung shes pa gar dgar thong //_bya rgod dur khrod sha la rol//_seng+ge ri dwags zil gyis mnan//_bung bas me tog nyams mi byed//_pad+ma chu yis gos pa min//_dus khrod chen po dog pa'i dbyings//_slob dpon chen po til+li pa s//_ nA ro pa la chos nyid gnyug ma'i mgur du gdams pa \uF042/_dbang mdud 'grol dang chos nyid gnyug ma'i mgur gyis dbang gong ma gsum po gsal gdab so/ /		This text contains instruction given by Tilopa to Naropa, some of them put in very abstruse metaphors.	
	MS. Tibet. a. 9.30 (R)																			30	zhang lo tsha ba	ཞང་ལོ་ཚ་བ	'og sgo mkha' 'gro'i gsang ba bde ba chen po'i las kyi 'od rig bde chen gyi gdams pa	འོག་སྒོ་མཁའ་འགྲོའི་གསང་བ་བདེ་བ་ཆེན་པོའི་ལས་ཀྱི་འོད་རིག་བདེ་ཆེན་གྱི་གདམས་པ	pha	ཕ	shes rab ye shes kyi dbang dang 'brel ba/_mkha' 'gro'i gsang ba sgrogs pa bde ba chen po la/_chags lam las rgya la brten pa dang /_grol lam 'od rig la bsten pa gnyis te/_las rgya gsang sngags gsar rnying gnyis nas bshad kyang / nyams su len pa nyung ste/_gsang sngags pa phal cher bud med kyi 'dam du tshud pa'o//	dbang phyug chen po mi la ras pa s mkha' 'gro'i gsang sgrogs pa bde ba chen po'oi yig cha mdzad pa 'di la/_las rgya dang 'od rig rigs gnyis las/_bla ma dang mkha' 'gro la gsol ba btab nas/ tshangs spyod 'dzin pa'i snod ldan 'ga' la phan phyir/_'od rigs bde chen gyi gdams pa 'di legs par phye zhing zur du bkol ba'o//_dpe 'di la shin tu dam par bya/_gsang bar bya/_sba bar bya/_ zhang lo tsha ba 'i zin bris las phyungs ba'o/ /			
